"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ"
"I1_2016",18,18,74.331307861231,0.397213756007133,0.467742063347665,0.631879024177329,3.34209605165414,15.9984548987165
"I2_2016",15,15,33.7099591087462,0.397213756007133,0.574674973804746,0.61479295842802,0.666860309672339,2.38947102846365
"I3_2016",12,12,10.3216205634054,0.397213756007133,0.522362017636578,0.67517027572141,2.41667380515148,8.22868448364697
"II1_2016",20,20,141.27540500829,0.397213756007133,0.513544965676557,0.811425058382594,4.5299026782215,22.705988017337
"II2_2016",17,17,19.3961821249971,0.397213756007133,0.508048152766544,0.691887330584381,4.09326421150422,19.1015692799479
"II3_2016",11,11,6.62432849601869,0.397213756007133,0.675468884702091,0.76432067452816,4.42394650928043,21.4583739519591
"III1_2016",6,6,0.00548369273869464,0.397213756007133,0.700286157424974,0.980628491374202,1.92501421028607,6.84585078523169
"III2_2016",10,10,10.0805640136314,0.397213756007133,0.588173331778274,0.691786729162937,3.77795753492595,16.9551693778132
"III3_2016",10,10,10.54720704887,0.397213756007133,0.688730392162384,0.721339542623695,3.77338932479314,16.5657552408526
"IV1_2016",7,7,1.60777587886326,0.397213756007133,0.563874673088013,0.552259947341647,3.19339858876702,12.8786835093154
"IV2_2016",8,8,0.871868878875331,0.397213756007133,0.582144900846884,0.866561905028721,3.0040103470534,10.3775251191655
"IV3_2016",14,14,23.7794377140201,0.397213756007133,0.740254858676964,0.631847783727673,3.19142199180942,11.6910904912899
"V1_2016",23,23,160.084622537194,0.397213756007133,0.455333795340464,0.811487964066045,4.42173834848679,21.7042673162566
"V2_2016",18,18,109.886734315794,0.397213756007133,0.458839989120777,0.789087084727972,4.50097587997829,22.3534692389083
"V3_2016",16,16,137.207286814197,0.397213756007133,0.61402923481954,0.948881361142243,3.49422672755739,16.3409918020684
"VI1_2016",15,15,22.741790282324,0.397213756007133,0.55343063477564,0.849892396154474,4.92888222798136,28.0867482721754
"VI2_2016",9,9,19.8713439717234,0.397213756007133,0.672378645356572,0.665985202889979,3.72084443642087,15.5066913772466
"VI3_2016",9,9,19.1712906395106,0.397213756007133,0.7401693947602,0.857750228081027,5.43454412924466,31.2233992962335
"I1_2017",10,10,11.0478098448775,0.397213756007133,0.719337084821021,0.760489688739832,3.85221010701922,15.5616590326435
"I2_2017",18,17,62.6913063009179,0.397213756007133,0.525866577752962,0.73563470993665,4.03794056158822,18.5646648044224
"I3_2017",23,23,162.522790394171,0.397213756007133,0.681082735411962,0.815347980642772,4.62249620479997,23.4886185040102
"II1_2017",27,26,66.4097905196198,0.397213756007133,0.474324300183472,0.721691067909116,3.36857291917426,13.6630116246916
"II2_2017",21,21,35.5557386626734,0.397213756007133,0.445482338557583,0.715214605926909,3.6016231338817,13.5490563531124
"II3_2017",22,22,67.3849326764312,0.397213756007133,0.630193979891749,0.792529802241322,3.81329842838919,15.6385098163756
"III1_2017",13,13,17.2741210061093,0.397213756007133,0.509467671050734,0.776884621809543,3.73911900610612,15.1339543828362
"III2_2017",10,10,15.263401562005,0.397213756007133,0.420311985286783,0.739909580553992,3.66828916825345,13.9405255250822
"III3_2017",10,10,23.6494268828322,0.397213756007133,0.397429570324602,0.582319535614412,3.13613104552504,13.0875166008168
"IV1_2017",20,18,41.2944103918331,0.397213756007133,0.617783075729783,0.734260445104117,4.10366869521298,19.8996405957296
"IV2_2017",27,24,110.671124170889,0.397213756007133,0.472796487247133,0.720779552469097,4.27104421496703,20.5227407108811
"IV3_2017",21,19,84.9397690383852,0.397213756007133,0.599375513899548,0.805276366171287,4.05703382528246,17.5880922981362
"V1_2017",25,22,95.7404118314411,0.397213756007133,0.461506065583769,0.595738202431302,2.51599474840562,8.32819540515521
"V2_2017",18,15,5.9066238785121,0.397213756007133,0.539118635661917,0.605542871703984,2.30155322073993,7.47819755555125
"V3_2017",33,29,97.3019292353944,0.397213756007133,0.493859057578387,0.546988656449536,2.38188727209935,7.34066418870762
"VI1_2017",22,22,300.530953705744,0.397213756007133,0.643203212389126,0.639952644212006,3.86694876354709,19.2645210192049
"VI2_2017",14,14,47.7955599242718,0.397213756007133,0.561456911129184,0.636768708787218,3.5336034832319,13.9687528080035
"VI3_2017",23,22,126.310362170532,0.397213756007133,0.495284051384612,0.926478055730771,3.51737851087964,14.2966766276525
"B1_2017",8,8,1.21812541275431,0.397213756007133,0.738871765020108,0.954669572408644,3.52835922658663,14.4258422607715
"B2_2017",11,11,21.3007895627063,0.397213756007133,0.737583775358269,0.766742363690741,4.48562355687887,21.4846020075427
"B3_2017",10,10,7.63562314436696,0.397213756007133,0.471764389045713,0.857363917500974,3.07578657444095,11.1470780851612
"C1_2017",21,20,233.8379333778,0.397213756007133,0.609346122642312,0.827701825232415,5.43620131813382,30.8091305797723
"C2_2017",15,15,13.8013914211012,0.397213756007133,0.569885043123208,0.887801890721429,3.02457932510704,13.3277951822305
"C3_2017",26,25,87.9913467670562,0.397213756007133,0.60609504424707,0.874337732115091,5.05732753367388,27.7084976691981
"KB1_2017",31,28,94.063926773425,0.397213756007133,0.595165450760881,0.827175341801813,4.72673998257274,24.5824267281762
"KB2_2017",18,18,110.663827329892,0.397213756007133,0.70827555062508,0.924859164229754,4.95017227376124,25.6231771467923
"KB3_2017",19,19,88.9465701854716,0.397213756007133,0.606417963528725,0.836520076746132,4.8634309006753,25.5119885928969
"S1_2017",12,12,6.66031638119941,0.397213756007133,0.600690704915395,0.894303166455928,5.08160821598353,26.6435075199637
"S2_2017",8,8,3.59352591075541,0.397213756007133,0.78695371863875,0.773655280625273,4.36599238186961,21.2468310157989
"S3_2017",14,14,16.1592960455611,0.397213756007133,0.676835703441536,0.696032849686481,4.2759063390167,19.9544848388442
"S4_2017",8,8,1.33325347533336,0.397213756007133,0.669726193875921,0.576627630262881,2.68606939889414,10.6565359842875
