"","Df","SumOfSqs","R2","F","Pr(>F)"
"System_type",2,0.344993052529131,0.172632861432854,5.70905558858343,0.228771228771229
"HI_PC1",1,0.0683003785680457,0.0341771803887363,2.2605131037144,0.412587412587413
"HI_PC2",1,0.034219611222791,0.0171233285980778,1.13255418483612,0.484515484515485
"HI_PC3",1,0.0237006163731434,0.0118596742520564,0.784410789527657,0.565434565434565
"Water_PC1",1,0.036389403417718,0.0182090821591391,1.20436701796827,0.545454545454545
"Water_PC2",1,0.0944263135982356,0.0472504724124639,3.12519379393484,0.016983016983017
"Water_PC3",1,0.0343766639079865,0.0172019170051261,1.13775210116252,0.879120879120879
"Natural_areas",1,0.0759888151222751,0.0380244370003445,2.51497452753502,0.789210789210789
"Macrophyte_biomass",1,0.123775055927068,0.0619364416821033,4.09653858005147,0.0539460539460539
"Fish_abundance",1,0.044312383148386,0.0221737030462923,1.46659103307816,0.127872127872128
"Residual",37,1.11793822511589,0.559410902022806,NA,NA
"Total",48,1.99842051893067,1,NA,NA
